№ Заказа,Наименование + артикул ,Цена в CNY,Заказ оформлен ,Дата поступления Poizon ,Трек номер ,На контроле ,,Статус Onex,Плановая дата прибытия Onex
51,Nike Air Max Correlate,499,TRUE,25.05.2024,73524038650606,FALSE,51,Pick up ,07.06.2024
52,New Balance NB 9060,739,TRUE,25.05.2024,SF1677838907773,FALSE,52,Pick up ,07.06.2024
53,Nike Oneonta NN Sandals,309,TRUE,26.05.2024,SF3116963426579,FALSE,53,Pick up ,07.06.2024
54,Nike Canyon,399,TRUE,29.05.2024,73524143134835,FALSE,54,Pick up ,07.06.2024
55,New balance 530,589,TRUE,25.05.2024,SF1690818422659,FALSE,55,Pick up ,07.06.2024
56,adidas gazelle,769,TRUE,28.05.2024,SF3107607721266,FALSE,56,Pick up ,19.06.2024
57,Nike Air Force 1 Low,609,TRUE,27.05.2024,SF1683713220475,FALSE,57,Pick up ,07.06.2024
58,Nike Air Force 1 '07,639,TRUE,29.05.2024,SF1396964560215,FALSE,58,Pick up ,12.06.2024
59,Nike M2K Tekno SP,529,TRUE,28.05.2024,SF1622543376446,FALSE,59,Pick up ,12.06.2024
60,New balance 574 V2,459,TRUE,29.05.2024,SF3103746428463,FALSE,60,Pick up ,12.06.2024
61,nike v2k ,639,TRUE,03.06.2024,SF3129716376015,FALSE,61,Pick up ,14.06.2024
62,NB 1906R green,759,TRUE,03.06.2024,SF1664570119946,FALSE,62,Pick up ,14.06.2024
63,New Balance NB 2002R,749,TRUE,31.05.2024,SF1652251358430,FALSE,63,Pick up ,14.06.2024
64,Nb 530,369,TRUE,31.05.2024,SF1651555144414,FALSE,64,Pick up ,14.06.2024
65,Asics Gel-Kahana 8 ,539,TRUE,31.05.2024,SF1612171887477,FALSE,65,Pick up ,14.06.2024
66,NB 2002 R,689,TRUE,01.06.2024,SF1683772903046,FALSE,66,Pick up ,14.06.2024
67,Adidas spezial коричневые ,669,TRUE,01.06.2024,SF1387003289157,FALSE,67,Pick up ,14.06.2024
68,nike v2k all black,499,TRUE,06.06.2024,SF1698107685456,FALSE,68,Pick up ,14.06.2024
69,nike air max koko sandal,409,TRUE,14.06.2024,SF1668586081971,FALSE,69,Pick up ,28.06.2024
70,Jordan серые,1009,TRUE,07.06.2024,SF1642002877812,FALSE,70,Pick up ,21.06.2024
71,Adidas Originals Handball Spzl,649,TRUE,09.06.2024,SF3120719257681,FALSE,71,Pick up ,21.06.2024
72,Adidas Originals Handball Spezial Collegiate Green Gum,459,TRUE,10.06.2024,SF1638546535384,FALSE,72,Pick up ,21.06.2024
73,New balance 530 ,389,TRUE,09.06.2024,73525053498850,FALSE,73,Pick up ,21.06.2024
74,Nike v2k,469,TRUE,08.06.2024,SF1633245415320,FALSE,74,Pick up ,21.06.2024
75,"New Balance 9060 ""Rain Cloud",749,TRUE,10.06.2024,SF1621544512196,FALSE,75,Pick up ,21.06.2024
76,Puma Velophasis technisch,439,TRUE,11.06.2024,SF1662588332099,FALSE,76,Pick up ,26.06.2024
77,nb 530 silver blue ,,TRUE,12.06.2024,SF1623595785874,FALSE,77,Pick up ,21.06.2024
78,"Asics Gel-Venture 6,",439,TRUE,11.06.2024,73525178575569,FALSE,78,Pick up ,26.06.2024
79,Nike Oneonta NN Sandals,359,TRUE,12.06.2024,SF1623571475602,FALSE,79,Pick up ,26.06.2024
80,Adidas Originals Samba ,684,TRUE,14.06.2024,SF1691616613457,TRUE,80,Pick up ,02.07.2024
81,New balance NB 550 Marquette,1089,TRUE,14.06.2024,SF1381735837254,FALSE,81,Pick up ,26.06.2024
82,#N/A,359,TRUE,12.06.2024,SF1647654508812,FALSE,82,Pick up ,26.06.2024
83,v2k metalik,529,TRUE,11.06.2024,SF3114768238378,FALSE,83,Pick up ,26.06.2024
84,Nb 530 Lvory 2024 D,328,TRUE,14.06.2024,73525381831612,FALSE,84,Pick up ,28.06.2024
85,Nike dunk low Black/white,565,TRUE,14.06.2024,SF3123818683643,FALSE,85,Pick up ,28.06.2024
86,Puma Copduroy,439,TRUE,14.06.2024,73525378660577,FALSE,86,Pick up ,28.06.2024
87,Nike M2K Tekno SP,429,TRUE,15.06.2024,SF1391630093528,FALSE,87,Pick up ,28.06.2024
88,NB 530,560,TRUE,16.06.2024,SF1646264297891,FALSE,88,Pick up ,28.06.2024
89,Adidas Spiritain 2000,429,TRUE,14.06.2024,SF3131244731635,FALSE,89,Pick up ,28.06.2024
90,ASICS gel kahana tr v2 ,519,TRUE,19.06.2024,SF1399735413640,FALSE,90,Pick up ,03.07.2024
91,Adidas ozmillen panelled sneakers ,469,TRUE,19.06.2024,73525682211222,FALSE,91,Pick up ,04.07.2024
92,New Balance 530 ,509,TRUE,21.06.2024,SF1617737263478,FALSE,92,Pick up ,05.07.2024
93,brigje бежевые,339,TRUE,28.06.2024,SF1393638874331,FALSE,93,Pick up ,15.07.2024
94,NB 1906r,629,TRUE,01.07.2024,SF1663585342017,FALSE,94,Pick up ,15.07.2024
95,Puma Rebound Layup Lo Sd Puma ,329,TRUE,28.06.2024,SF1392836666106,FALSE,95,Pick up ,15.07.2024
96,new balanc 530 ,599,TRUE,25.06.2024,SF1678810708985,FALSE,96,Pick up ,10.07.2024
97,Nike Air Force 1 Low,529,TRUE,27.06.2024,SF3111717699790,FALSE,97,Pick up ,11.07.2024
98,Giuseppe Zanotti,$495,TRUE,,FF93VN,FALSE,98,Pick up ,02.07.2024
99,"Jordan Air Jordan 1 Mid Se ""diamond Shorts",759,TRUE,02.07.2024,SF1665502786257,FALSE,99,Pick up ,15.07.2024
100,Niko and NewBalance NB 530 ,699,TRUE,29.06.2024,SF3113873093693,FALSE,100,Pick up ,12.07.2024
101,Nike Blazer 77 Vintage,264,TRUE,02.07.2024,SF3100265219238,FALSE,101,Pick up ,16.07.2024
102,new balance 530  silver,609,TRUE,02.07.2024,SF3123714084387,FALSE,102,Pick up ,16.07.2024
103,Nb,519,TRUE,06.07.2024,SF3133251311238,FALSE,103,Pick up ,17.07.2024
104,#N/A,,FALSE,,,FALSE,104,Not processed,
105,nb 530SG,619,TRUE,05.07.2024,SF1395630522001,FALSE,105,Pick up ,19.07.2024
106,Adidas Originals Ozweego Meta,429,TRUE,07.07.2024,73526898441534,FALSE,106,Pick up ,19.07.2024
107,Nike SB Chron 2,199,TRUE,07.07.2024,73526898441534,FALSE,107,Pick up ,19.07.2024
108,Nike dunk Remastered mushroom,379,TRUE,08.07.2024,73526986221639,FALSE,108,Pick up ,22.07.2024
109,#N/A,339,TRUE,09.07.2024,73527001079969,FALSE,109,Pick up ,23.07.2024
110,NB 530 бежевые ,409,TRUE,09.07.2024,73527079052436,FALSE,110,Pick up ,23.07.2024
111,yeezy 350 v2 zebra 2023,2209,TRUE,11.07.2024,SF1391132789902,FALSE,111,Pick up ,25.07.2024
112,Jordan Air Jordan 1 Stealth And White Dior,529,TRUE,10.07.2024,SF3114961420495,FALSE,112,Pick up ,25.07.2024
113," Nike Dunk Low ""Gorge Green""",499,TRUE,11.07.2024,73527267233542,FALSE,113,Pick up ,26.07.2024
114,Converse all star,389,TRUE,17.07.2024,73527476523384,FALSE,114,Pick up ,30.07.2024
115,Adidas Originals Ozweego Meta,479,TRUE,13.07.2024,73527267695616,FALSE,115,Pick up ,26.07.2024
116,Adidas astir,£48,TRUE,16.07.2024,QL450240755GB,FALSE,116,Pick up ,26.07.2024
117,puma mirage,334,TRUE,21.07.2024,YT2511678275540,FALSE,117,Pick up ,02.08.2024
118,Nike oneonta Sandal,174,TRUE,19.07.2024,73527664730457,FALSE,118,Pick up ,02.08.2024
119,nike air max 90,519,TRUE,18.07.2024,SF3109482084836,FALSE,119,Pick up ,01.08.2024
120,Adidas Pro Bounce 2018,278,TRUE,19.07.2024,73527664730457,FALSE,120,Pick up ,02.08.2024
121,Nike dunk ,466,TRUE,23.07.2024,73527872805768,FALSE,121,Pick up ,06.08.2024
122,asics gel flux 4,689,TRUE,26.07.2024,SF3105414467112,FALSE,122,Pick up ,07.08.2024
123,adidas samba ,579,TRUE,25.07.2024,SF3136927491420,FALSE,123,Pick up ,08.08.2024
124,Nike dunk Remastered mushroom,439,TRUE,25.07.2024,73528042256226,FALSE,124,Pick up ,08.08.2024
#E2DA57,ACG Mountain Fly 2 Low GTX Dark smoke grey,619,TRUE,24.07.2024,SF3120301058440,TRUE,#E2DA57,Pick up ,12.08.2024
#REF!,#REF!,,FALSE,,,FALSE,#REF!,Not processed,
#FC7E88,New Balance 1906R Urbancore Green,589,TRUE,26.07.2024,SF3107284435712,FALSE,#FC7E88,Pick up ,09.08.2024
#532584,Adidas astir,£80,TRUE,26.07.2024,H04NNA0002442570,TRUE,#532584,Pick up ,12.08.2024
#REF!,#REF!,609,TRUE,01.08.2024,SF3119753800001,TRUE,#REF!,Pick up ,19.08.2024
#944E24,Adidas Neo Vl Court T,269,TRUE,01.08.2024,SF3127303277563,FALSE,#944E24,Pick up ,16.08.2024
#D6B1DC,new balance 530 ,389,TRUE,31.07.2024,73528429206547,FALSE,#D6B1DC,Pick up ,14.08.2024
#DE0302,"New Balance NB 1906R ""urbancore""",589,TRUE,02.08.2024,SF3111633343407,FALSE,#DE0302,Pick up ,16.08.2024
#EAD1E0,"New Balance NB 1906R ""REFINED FUTURE""",829,TRUE,06.08.2024,SF3134328788628,FALSE,#EAD1E0,Pick up ,19.07.2024
#9815D2,Nb 530,599,TRUE,04.08.2024,SF3106478797513,FALSE,#9815D2,Pick up ,16.08.2024
#182600,Nike Air Max 90 ,1079,TRUE,09.08.2024,SF3130960551120,FALSE,#182600,Pick up ,21.08.2024
#C608C7,New Balance 530  ,459,TRUE,05.08.2024,73528718558896,FALSE,#C608C7,Pick up ,20.08.2024
#CB9352,"Nike Dunk Low Retro ""Team Red""",469,TRUE,05.08.2024,73528714183854,FALSE,#CB9352,Pick up ,19.08.2024
#CB9352,"New Balance NB 1906R ""urbancore""",589,TRUE,06.08.2024,SF3123004177855,FALSE,#CB9352,Pick up ,20.08.2024
1A4414,Adidas Originals Adi2000,399,TRUE,10.08.2024,73528906318286,FALSE,1A4414,Pick up ,23.08.2024
54A7AA,New Balance NB 2002R,889,TRUE,04.08.2024,SF3139155287626,FALSE,54A7AA,Pick up ,19.08.2024
#D957C0,new balance 530 ,569,TRUE,08.08.2024,SF3119409422807,FALSE,#D957C0,Pick up ,22.08.2024
#D47592,asics gel 1130,789,TRUE,08.08.2024,SF3137613756320,FALSE,#D47592,Pick up ,21.08.2024
#87B2F8,adidas originals ozweego G57954,499,TRUE,06.08.2024,73528806457142,FALSE,#87B2F8,Pick up ,21.08.2024,#N/A,,FALSE,,,FALSE,,Not processed,
#8C8998,New balance 574,419,TRUE,09.08.2024,73528893577946,FALSE,#8C8998,Pick up ,23.08.2024
#00F9DF,Adidas Originals Handball Spzl,439,TRUE,10.08.2024,SF3128066618095,FALSE,#00F9DF,Pick up ,23.08.2024
ы,Converse All Star Chuck Taylor,369,TRUE,09.08.2024,73528894208325,FALSE,ы,Pick up ,23.08.2024
#2B021D,PUMA Storm Origin,204,TRUE,10.08.2024,73528944044141,FALSE,#2B021D,Pick up ,23.08.2024
#754D57,"Nike Air Jordan 1 Low  ""White Olive""",799,TRUE,10.08.2024,SF3126965804040,FALSE,#754D57,Pick up ,23.08.2024
#880340,Converse Chuck Taylor All star,298,TRUE,13.08.2024,73529075862419,FALSE,#880340,Pick up ,26.08.2024
1111,Nike Cortez Classic ,599,TRUE,13.08.2024,SF3110558816806,FALSE,1111,Pick up ,28.08.2024
#0AF63F,Nike V2K Run,589,TRUE,11.08.2024,SF3133889349127,FALSE,#0AF63F,Pick up ,23.08.2024
#935A02,Niko And .. X New Balance NB 530,869,TRUE,13.08.2024,SF3121765049659,FALSE,#935A02,Pick up ,27.08.2024
#24BA2F,"Nike Dunk Low ""Polar Blue""",529,TRUE,14.08.2024,SF3107089544713,FALSE,#24BA2F,Pick up ,28.08.2024
#AE4A61,nike air max 1 ,389,TRUE,14.08.2024,73529211282883,FALSE,#AE4A61,Pick up ,28.08.2024
#C11DBF,Adidas climacool Vento,709,TRUE,18.08.2024,SF3108480960800,FALSE,#C11DBF,Pick up ,30.08.2024
#F369BF,Nike air max 97,599,TRUE,17.08.2024,SF3100835653304,FALSE,#F369BF,Pick up ,30.08.2024
#052F33,Nike Air Force 1 white jewel,699,TRUE,16.08.2024,SF3135084338197,FALSE,#052F33,Pick up ,30.08.2024
#A28305,Adidas stansmith green,489,TRUE,16.08.2024,73529311082455,FALSE,#A28305,Pick up ,30.08.2024
#F6653B,"Nike Dunk Disrupt 2 ""pink Oxford""",469,TRUE,16.08.2024,73529322338885,FALSE,#F6653B,Pick up ,30.08.2024
#A089F3,New Balance NB 530 Lvory 2024 D,359,TRUE,16.08.2024,73529342247945,FALSE,#A089F3,Pick up ,30.08.2024
#73B5DA,Nike Air Rift,699,TRUE,17.08.2024,SF3110912933607,FALSE,#73B5DA,Pick up ,30.08.2024
#287633,New Balance NB 990 V5,1399,TRUE,17.08.2024,SF3102947151002,FALSE,#287633,Pick up ,30.08.2024
#2A7C91,Adidas Originals Adi2000,349,TRUE,21.08.2024,SF1395700414641,FALSE,#2A7C91,Pick up ,04.09.2024
#34608B,Asics Gel-Kahana,489,TRUE,17.08.2024,73529440973656,FALSE,#34608B,Pick up ,02.09.2024
#A1245E,new balance 9060 sea salt,919,TRUE,19.08.2024,SF1390806028626,FALSE,#A1245E,Pick up ,02.09.2024
#076C69,Adidas Originals Handball Spzl,969,TRUE,21.08.2024,SF1397607549682,FALSE,#076C69,Pick up ,03.09.2024
#669A72,New Balance NB 2002R,489,TRUE,21.02.2024,SF1398804066658,FALSE,#669A72,Pick up ,05.09.2024
#151C01,New Balance NB 1906R,569,TRUE,21.08.2024,SF3133675696192,FALSE,#151C01,Pick up ,04.09.2024
#03A5C9,Nike Air Max Plus Drift,1489,TRUE,23.08.2024,SF3125660744367,FALSE,#03A5C9,Pick up ,06.09.2024
#3EF827,Adidas samba ,549,TRUE,23.08.2024,SF3122466037382,FALSE,#3EF827,Pick up ,06.09.2024
#D0DFBA,nike 2vk,999,TRUE,29.08.2024,SF1395108455092,FALSE,#D0DFBA,Pick up ,11.09.2024
#B513E3,Jordan Air Jordan 1 High OG Team Red,709,TRUE,30.08.2024,SF3135557684796,FALSE,#B513E3,Pick up ,13.09.2024
#3666B6,Adidas Neo Vl Court T,288,TRUE,28.08.2024,73530002986094,FALSE,#3666B6,Pick up ,11.09.2024
#59B8B1,"New Balance NB 1906R ""urbancore""",579,TRUE,30.08.2024,SF3138807467190,TRUE,#59B8B1,Pick up ,12.09.2024
#1445B1,Nike Dunk Twist,619,TRUE,31.08.2024,SF3135216587798,FALSE,#1445B1,Pick up ,13.09.2024
111111,Nike v2k Black ,449,TRUE,29.08.2024,73530219373228,FALSE,111111,Pick up ,13.09.2024
#149F19,Nike Initiator,429,TRUE,30.08.2024,73530143567002,FALSE,#149F19,Pick up ,13.09.2024
#149F19 ,Asics Gel-170TR,379,TRUE,30.08.2024,SF3133457989899,FALSE,#149F19 ,Pick up ,13.09.2024
#7F9BC9,Asics Gel-Nandi,389,TRUE,01.09.2024,73530288554710,FALSE,#7F9BC9,Pick up ,13.09.2024
222,nike v2k silver,579,TRUE,02.09.2024,SF3104275221508,FALSE,222,Pick up ,16.09.2024
#AC7CC8,Adidas Originals Ozweego Celox ,419,TRUE,04.09.2027,73530479742803,FALSE,#AC7CC8,Pick up ,18.08.2024
#7AEE21,"Nike dunk retro ""black"" ",719,TRUE,03.09.2024,SF3116161365543,FALSE,#7AEE21,Pick up ,17.09.2024
#5E74F1,Nike V2K Run,699,TRUE,04.09.2024,SF3136165475593,FALSE,#5E74F1,Pick up ,18.09.2024
#AC2B6A,Asics Gel-Kahana TR V2,749,TRUE,02.09.2024,SF3133284575895,FALSE,#AC2B6A,Pick up ,17.09.2024
#1A9BFC,Adidas Originals Adi2000,299,TRUE,05.09.2024,73530610387410,FALSE,#1A9BFC,Pick up ,19.09.2024
#4778E0,New balance 530,,FALSE,,,FALSE,#4778E0,Not processed,
#4778E0 :),New balance 9060,819,TRUE,09.09.2024,SF3114439386344,FALSE,#4778E0 :),Pick up ,20.09.2024
D28817,Adidas Neo Vl Court Classic,309,TRUE,06.09.2024,73530621143419,FALSE,D28817,Pick up ,20.09.2024
#816F9A,Niko And .. X New Balance NB 725,409,TRUE,08.09.2024,73530793405588,FALSE,#816F9A,Pick up ,23.09.2024
Nº8F6037,Nike p-6000,449,TRUE,11.09.2024,73530999317792,FALSE,Nº8F6037,Pick up ,25.09.2024
№17AEDA,Adidas Originals Campus 80S,329,TRUE,18.09.2024,SF1391091090173,FALSE,№17AEDA,Pick up ,30.09.2024
22222,Masters of the Universe x PUMA RS-X He-Man,399,TRUE,16.09.2024,73531415747872,FALSE,22222,Pick up ,27.09.2024
#D15608,Nike Court Vapor Lite 2,279,TRUE,19.09.2024,73531452799906,FALSE,#D15608,On it's way,02.10.2024
333,"Adidas Originals Handball Spzl",539,TRUE,16.09.2024,SF1393192294158,FALSE,333,Pick up ,30.09.2024
#C05FA7,"Dunk Low ""Cacao Wow"" sneakers",469,TRUE,17.09.2024,73531440923116,FALSE, #C05FA7,On it's way,01.10.2024
#DBC1B4,Nike V2K Run Light Orewood Brown,589,TRUE,18.09.2024,SF3112442002960,FALSE,#DBC1B4,On it's way,02.10.2024
#E8E4CA,"Nike Dunk Low Retro SE NN ""Sun Club""",639,TRUE,19.09.2024,SF3127891891236,FALSE,#E8E4CA,On it's way,04.10.2024
#F981BF,Nike ACG Mountain Fly 2 Low Gore-Tex,749,TRUE,19.09.2024,SF3120899082240,FALSE,#F981BF,On it's way,03.10.2024
#F38D3B,asics gel kahana 8,489,TRUE,19.09.2024,73531674452084,FALSE,#F38D3B,On it's way,03.10.2024
#232410,New Balance NB 5740,429,TRUE,19.09.2024,73531666619617,FALSE,#232410,On it's way,04.10.2024
#FBD67E,new balance 530 d,349,TRUE,19.09.2024,73531674452084,FALSE,,On it's way,03.10.2024
#23ECBA,New Balance NB 530 Y2K,449,TRUE,21.09.2024,73531758014995,FALSE,,On it's way,04.10.2024
#2FB5F0,new balance 574,529,TRUE,22.09.2024,SF3121395678803,FALSE,,On it's way,04.10.2024
#AE6F93,ACG Mountain Fly 2 Low GTX Dark smoke grey,592,TRUE,01.10.2024,,FALSE,,Expected,
#A08342,New Balance NB 2002R D,819,TRUE,26.09.2024,SF3103530624696,FALSE,,On it's way,10.10
#D31DF7,"Nike Dunk Retro ""Black""",489,TRUE,26.09.2024,73532131167483,FALSE,,On it's way,10.10.2024
#1782C1,puma alteration PN2,999,TRUE,30.09.2024,,FALSE,,Expected,
#F65391,Nike P-6000,569,TRUE,25.09.2024,SF3134478173006,FALSE,,On it's way,09.10.2024
#6FB841,Nike Court Vision Mid,429,TRUE,29.09.2024,,FALSE,,Expected,
12345,adidas originals USA 84,599,TRUE,30.09.2024,,FALSE,,Expected,
#6732D6,New Balance NB Pro Court,339,TRUE,26.09.2024,73532180470077,FALSE,,In sort centre ,
#DC6467,Nike dunk low,619,TRUE,28.09.2024,SF1393192837467,FALSE,,In sort centre ,
#26E623,Asics Gel-Rocket 11,419,TRUE,28.09.2024,,FALSE,,Expected,
#E80531,PUMA RS-X FH,,FALSE,,,FALSE,,Not processed,
#6332CB,New Balance NB 574 D,399,TRUE,01.10.2024,,FALSE,,Expected,
#6332CB :),PUMA Teveris Nitro,265,TRUE,02.10.2024,,FALSE,,Expected,
